Taxa	Sample01	Sample02	Sample03	Sample04
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea;Unclassified Levilinea	0	1	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Longilinea;Unclassified Longilinea	0	1	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Unclassified Anaerolineaceae;	1	42	43	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Unclassified Anaerolineales;;	0	1	0	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;Unclassified Caldilinea	0	0	1	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Unclassified Caldilineaceae;	0	1	0	0
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae;Chloronema;Unclassified Chloronema	0	1	0	0
Bacteria;Chloroflexi;Class Incertae Sedis;Order Incertae Sedis;Family Incertae Sedis;Thermobaculum;Unclassified Thermobaculum	0	1	0	0
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis;Dehalococcoides;Unclassified Dehalococcoides	0	1	2	0
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis;Dehalogenimonas;Unclassified Dehalogenimonas	0	0	1	0
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis;Unclassified Family Incertae Sedis;	0	2	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;Ktedonobacter racemifer DSM 44963	1	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;Unclassified Ktedonobacter	13	0	0	9
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Unclassified Ktedonobacteraceae;	2	0	0	1
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Thermosporotrichaceae;Thermosporothrix;Unclassified Thermosporothrix	2	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Unclassified Ktedonobacterales;;	9	0	0	3
Bacteria;Chloroflexi;Ktedonobacteria;Unclassified Ktedonobacteria;;;	3	0	0	1
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter;Unclassified Sphaerobacter	0	1	0	0
Bacteria;Chloroflexi;Thermomicrobia;Unclassified Thermomicrobia;;;	0	1	1	0
Bacteria;Chloroflexi;Unclassified Chloroflexi;;;;	2	11	22	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Chroococcus;Unclassified Chroococcus	1	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Unclassified FamilyI;	0	1	1	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Phormidium;Unclassified Phormidium	0	0	1	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Planktothrix;Unclassified Planktothrix	0	1	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Unclassified FamilyI;	0	0	2	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyI;Unclassified FamilyI;	1	0	0	0
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Unclassified Thermales;;	0	1	0	0
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Unclassified Elusimicrobiaceae;	0	0	1	0
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;termite gut group;haloalkaliphilic bacterium ACht6-1;Unclassified haloalkaliphilic bacterium ACht6-1	0	3	1	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;Unclassified Anoxybacillus	0	0	2	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Aquisalibacillus;Unclassified Aquisalibacillus	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus clausii KSM-K16	0	0	1	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Unclassified Bacillus	0	2	1	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Caldalkalibacillus;Unclassified Caldalkalibacillus	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Unclassified Bacillaceae;	1	2	4	2
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;Unclassified Listeria	1	0	1	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Unclassified Paenibacillaceae;	0	0	1	1
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Unclassified Planococcaceae;	0	1	0	1
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Unclassified Sporolactobacillaceae;	0	1	0	0
